id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error,t0_date,t+1_date,t+2_date,t+5_date,benchmark_source,benchmark_symbol,benchmark_t0_close,benchmark_t1_close,benchmark_t2_close,benchmark_t5_close,benchmark_ret_1d,benchmark_ret_2d,benchmark_ret_5d,abnormal_ret_1d,abnormal_ret_2d,abnormal_ret_5d,benchmark_alignment
1318166,20210628000136,00541437,코렌텍,104540,주요사항보고서(유상증자결정),2021-06-28,KOSDAQ,17350.0,16950.0,17000.0,17900.0,-0.023054755043227626,-0.02017291066282423,0.03170028818443793,,2021-06-28,2021-06-29,2021-06-30,2021-07-05,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1017.91,1022.52,1029.96,1047.33,0.004528887622677891,0.011837981746912751,0.02890235875470326,-0.027583642665905517,-0.03201089240973698,0.002797929429734669,complete
1304569,20210728900242,00541437,코렌텍,104540,증권발행결과(자율공시)(제3자배정 유상증자),2021-07-28,KOSDAQ,16550.0,16400.0,16250.0,16250.0,-0.009063444108761365,-0.01812688821752262,-0.01812688821752262,,2021-07-28,2021-07-29,2021-07-30,2021-08-04,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1035.68,1044.13,1031.14,1047.93,0.00815889077707399,-0.004383593387919049,0.011827977753746222,-0.017222334885835355,-0.01374329482960357,-0.02995486597126884,complete
897124,20230509000239,00541437,코렌텍,104540,주요사항보고서(유상증자결정),2023-05-09,KOSDAQ,12100.0,11850.0,11760.0,11660.0,-0.02066115702479343,-0.028099173553719048,-0.036363636363636376,,2023-05-09,2023-05-10,2023-05-11,2023-05-16,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,835.85,829.74,824.54,816.75,-0.007309924029431092,-0.01353113596937261,-0.022850990010169325,-0.013351232995362339,-0.014568037584346438,-0.01351264635346705,complete
890561,20230517900147,00541437,코렌텍,104540,증권발행결과(자율공시)(제3자배정 유상증자),2023-05-17,KOSDAQ,11270.0,11290.0,11320.0,11570.0,0.0017746228926354135,0.004436557231588312,0.02661934338952965,,2023-05-17,2023-05-18,2023-05-19,2023-05-24,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,834.19,835.89,841.72,855.46,0.0020379050336254423,0.00902672053129372,0.025497788273654676,-0.0002632821409900288,-0.004590163299705408,0.0011215551158749726,complete
1318127,20210628000183,01133217,카카오뱅크,323410,주요사항보고서(유상증자결정),2021-06-28,KOSPI,,,,,,,,no_price_data,,,,,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSPI,,,,,,,,,,,complete
1317729,20210628000484,00596260,투비소프트,079970,주요사항보고서(유상증자결정),2021-06-29,KOSDAQ,2695.0,2650.0,2665.0,2695.0,-0.016697588126159513,-0.011131725417439675,0.0,,2021-06-29,2021-06-30,2021-07-01,2021-07-06,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1022.52,1029.96,1035.64,1044.96,0.007276141297969829,0.012831044869538122,0.02194578101161837,-0.023973729424129342,-0.023962770286977797,-0.02194578101161837,complete
1309893,20210714900272,00596260,투비소프트,079970,증권발행결과(자율공시)(제3자배정 유상증자-소액공모),2021-07-14,KOSDAQ,2465.0,2440.0,2455.0,2460.0,-0.010141987829614618,-0.0040567951318458695,-0.0020283975659228792,,2021-07-14,2021-07-15,2021-07-16,2021-07-21,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,1044.98,1054.31,1051.98,1042.03,0.00892840054355104,0.006698692797948214,-0.0028230205362782534,-0.01907038837316566,-0.010755487929794083,0.0007946229703553742,complete
1182899,20220317001326,00596260,투비소프트,079970,주요사항보고서(유상증자결정),2022-03-17,KOSDAQ,1285.0,1410.0,1270.0,1270.0,0.09727626459143979,-0.011673151750972721,-0.011673151750972721,,2022-03-17,2022-03-18,2022-03-21,2022-03-24,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,914.13,922.96,918.4,931.75,0.0096594576263771,0.004671108048089456,0.01927515780031297,0.08761680696506269,-0.016344259799062177,-0.03094830955128569,complete
1066796,20220901000303,00596260,투비소프트,079970,주요사항보고서(유상증자결정),2022-09-01,KOSDAQ,988.0,982.0,953.0,970.0,-0.006072874493927127,-0.03542510121457487,-0.018218623481781382,,2022-09-01,2022-09-02,2022-09-05,2022-09-08,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,788.32,785.88,771.43,777.81,-0.0030951897706515963,-0.021425309518977143,-0.013332149380962166,-0.002977684723275531,-0.01399979169559773,-0.004886474100819216,complete
838067,20230828000547,00596260,투비소프트,079970,주요사항보고서(유상증자결정),2023-08-28,KOSDAQ,1040.0,1000.0,982.0,909.0,-0.038461538461538436,-0.05576923076923079,-0.12596153846153846,,2023-08-28,2023-08-29,2023-08-30,2023-09-04,NAVER_FINANCE_DOMESTIC_INDEX_DAILY,KOSDAQ,909.38,916.24,923.81,919.16,0.007543601134839095,0.015867953990631012,0.010754580043546014,-0.04600513959637753,-0.0716371847598618,-0.13671611850508447,complete
